"","force"
"1",20971.8
"2",20769.82
"3",20669.62
"4",21799.42
"5",21962.51
"6",20922.8
"7",22043.01
"8",21055.18
"9",21914.91
"10",21964.02
"11",20519.17
"12",20896.87
"13",21096.44
"14",22213.95
"15",21914.85
"16",21189.12
"17",20981.4
"18",21925.37
"19",21402.45
"20",22105.8
"21",22033.52
"22",20673.02
