"","force"
"1",90539.4
"2",92079.52
"3",91324.89
"4",96859.15
"5",92081.06
"6",92650.36
"7",88837.68
"8",95444.21
"9",92740.33
"10",93841.74
"11",89210.74
"12",96825.02
"13",91061.26
"14",94607.66
"15",94123.52
"16",94581.87
