"","force"
"1",-81451.21
"2",-76069.5
"3",-77285.97
"4",-75827.96
"5",-81226.11
"6",-81067.55
"7",-81464.69
"8",-76352.21
"9",-75626.39
"10",-77503.52
"11",-80022.75
"12",-81793.2
"13",-79040.78
"14",-78962.62
