"","force"
"1",162971.51
"2",171975.55
"3",169685.88
"4",170786.58
"5",164311.83
"6",164481.77
"7",179159.14
"8",163525.48
"9",170995.52
"10",178229.5
"11",164320.59
"12",176155.9
"13",175487.38
"14",177384.26
"15",164754.49
"16",173002.86
"17",178025.96
"18",166203.34
"19",167384.17
"20",175434.12
"21",177829.86
"22",175011.69
"23",168026.88
"24",175488.81
"25",168361.31
"26",164150.62
