"","force"
"1",69591.45
"2",74839.42
"3",73284.35
"4",70787.77
"5",71754.9
"6",73449.11
"7",74504.89
"8",75024.65
"9",70611.7
"10",72495.98
"11",75280.17
"12",74120.61
"13",69375.96
"14",70299.65
"15",68686.81
"16",69579.88
"17",72448.95
"18",72302.28
"19",68913.33
