"","force"
"1",235317.99
"2",253973.23
"3",254840.81
"4",248721.32
"5",252198.93
"6",257296.01
"7",249596.02
"8",257205.62
"9",248799.9
"10",245532.27
"11",233276.11
"12",234184.87
"13",234840.8
"14",252092.78
"15",237351.15
