"","force"
"1",17851.57
"2",17510.54
"3",18217.59
"4",18688.78
"5",18734.89
"6",18379.21
"7",18672.14
"8",18773.92
"9",18828.23
"10",17642.66
"11",18183.73
"12",18932.81
"13",18384.02
"14",19220.39
"15",18277.43
"16",18333.48
"17",18013.13
"18",17702.52
