"","force"
"1",-22009.82
"2",-22452.4
"3",-22423.16
"4",-23330.84
"5",-23359.06
"6",-22041.71
"7",-22619.31
"8",-22827.85
"9",-22712.45
"10",-22296.75
"11",-24197.87
"12",-22027.18
"13",-22891.37
"14",-22347.29
"15",-22888.45
"16",-23088.96
"17",-22267.15
"18",-22639.08
"19",-23653.6
"20",-24164.89
"21",-23546.84
"22",-23591.19
"23",-22560.28
"24",-23277.6
"25",-22821.49
"26",-23881
