"","force"
"1",-3173.25
"2",-3129.91
"3",-3159.11
"4",-3253.24
"5",-3187.62
"6",-3267.42
"7",-3100.22
"8",-3226.35
"9",-3168.72
"10",-3161.65
"11",-3262.77
"12",-3320.87
"13",-3363.86
"14",-3267.38
"15",-3359.92
"16",-3404.98
"17",-3267.23
"18",-3203.34
"19",-3098.23
"20",-3207.77
"21",-3243.87
"22",-3264.96
"23",-3405.63
"24",-3326.37
"25",-3188.17
"26",-3314.48
"27",-3340.95
"28",-3124.84
"29",-3300.9
"30",-3291.13
"31",-3310.23
"32",-3275.72
"33",-3366.99
"34",-3250.31
"35",-3256.56
"36",-3292.8
"37",-3106.5
"38",-3298.85
"39",-3215.02
"40",-3307.06
"41",-3195.15
"42",-3098.86
"43",-3296.85
"44",-3279.13
"45",-3386.35
"46",-3376.33
"47",-3135.22
"48",-3250.55
"49",-3247.31
"50",-3264.2
"51",-3100.75
"52",-3161.9
"53",-3419.65
"54",-3277.17
"55",-3373.7
"56",-3108.19
"57",-3127.49
"58",-3123.78
"59",-3282.88
"60",-3229.08
"61",-3347.08
"62",-3407.56
"63",-3331.46
"64",-3299.8
"65",-3195.31
"66",-3197.71
"67",-3199.99
"68",-3369.84
"69",-3173.55
"70",-3247.53
"71",-3123.96
"72",-3169.18
"73",-3120.81
"74",-3131.98
"75",-3324.26
"76",-3233.35
"77",-3206.77
"78",-3205.48
