"","force"
"1",379520.68
"2",388895.12
"3",416271.88
"4",412763.99
"5",397763.67
"6",398189.79
"7",384052.69
"8",401515.4
"9",413355.8
"10",386852.15
"11",415659.18
"12",417037.64
"13",386983.25
"14",413157.03
"15",379685.01
