"","force"
"1",109270.74
"2",113294.95
"3",109337.5
"4",116313.8
"5",119545.2
"6",119122.53
"7",109145.84
"8",111718.43
"9",112139.95
"10",118220.29
"11",109230.27
"12",111671.56
"13",118949.43
"14",114200.85
"15",109916.02
