"","force"
"1",638.93
"2",654.87
"3",630.99
"4",654.97
"5",673.03
"6",632.61
"7",648.6
"8",681.15
"9",674.5
"10",668.99
"11",637.59
"12",660.78
"13",639.75
"14",648.37
"15",651.79
"16",635.45
"17",669.89
"18",648.85
"19",674.15
"20",665.88
"21",646.79
"22",684.11
"23",663.59
"24",637.71
