"","force"
"1",10238.27
"2",10385.88
"3",10117.94
"4",10780.07
"5",10699.32
"6",10680.75
"7",10833.73
"8",10135.57
"9",10778.08
"10",10280.3
"11",10051.39
"12",10583.93
"13",10005.43
"14",10500.02
"15",10009.68
"16",10831.23
