"","force"
"1",38833.75
"2",36555.73
"3",36905.38
"4",39129.9
"5",35868.26
"6",39072.59
"7",37897.97
"8",38287.41
"9",36186.31
"10",38899.22
"11",38193.33
"12",37398.86
"13",37853.11
"14",38134.68
"15",35889.37
"16",35677.85
"17",36811.07
"18",37302.79
"19",36308.57
"20",37457.27
