"","force"
"1",27198.01
"2",27752.94
"3",26467.45
"4",28419.59
"5",27942.1
"6",29014.94
"7",26785.44
"8",28404.73
"9",29169.43
"10",27112.36
"11",28824.63
"12",28998.56
"13",26488.86
"14",27068.12
"15",27383.64
"16",28167.45
"17",27121.49
"18",26670.45
"19",28844.91
"20",29180.35
"21",28900.71
"22",27030.28
"23",28354.73
"24",26597.93
"25",27134.97
