"","force"
"1",48173.89
"2",45295.31
"3",48808.49
"4",49275.46
"5",46171.96
"6",45060.43
"7",44888.96
"8",49179.39
"9",45078.28
"10",47240.8
"11",48287.85
"12",48030.87
"13",48043.42
"14",45960.36
"15",46397.99
