"","force"
"1",-25739.53
"2",-26084.67
"3",-25659.87
"4",-25391.85
"5",-25763.39
"6",-26580.48
"7",-26329.34
"8",-26007.13
"9",-25174.73
"10",-26594.65
"11",-25603.87
