"","force"
"1",181374.1
"2",186673.27
"3",175288.05
"4",185179.51
"5",184046.1
"6",186761.78
"7",188848.54
"8",173083.67
"9",189650.02
"10",177384.94
"11",175425.22
"12",179862.03
"13",180135.13
"14",185376.69
"15",174667.02
"16",173269.99
"17",184647.29
