"","force"
"1",253329.09
"2",271834.12
"3",261426.84
"4",273914.39
"5",270569.16
"6",272128.95
"7",272128.61
"8",252209.81
"9",267784.4
"10",276090.67
"11",274670.35
"12",257174.28
