"","force"
"1",239620.74
"2",255849.8
"3",242422.53
"4",241490.98
"5",235672.17
"6",243649.18
"7",250070.94
"8",244096.98
"9",242640.02
"10",238355.97
"11",241481.16
"12",231672.71
"13",251004.47
"14",246716.53
"15",238233
