"","force"
"1",58528
"2",57556.56
"3",63405.27
"4",60229.57
"5",59514.58
"6",62581.85
"7",61222.02
"8",61722.1
"9",60944.91
"10",62922.59
"11",60895.26
"12",61030.1
"13",60886.5
"14",58027.55
"15",58879.58
"16",59824.37
"17",59036.13
"18",62482.85
"19",59201.52
"20",61892.41
"21",61432.69
"22",63263.74
"23",57417.65
"24",57709.15
"25",59403.75
"26",60093.53
"27",63197.84
"28",58277.93
"29",62241.64
"30",58606.92
"31",60631.03
"32",57469.26
"33",58015.82
"34",58933.61
"35",59599.85
"36",60131.76
"37",61158.75
"38",61847.05
"39",57697.41
"40",57724.23
"41",60871.54
"42",59703.27
"43",61737.67
"44",60827.55
"45",57468.42
"46",60536.81
