"","force"
"1",145115.5
"2",144842.98
"3",144610.38
"4",152906.09
"5",146589.08
"6",145213.23
"7",143469.98
"8",145093.42
"9",152888.21
"10",147956.24
"11",141189.95
"12",145827.97
"13",147672.06
"14",149835.01
"15",145141.37
"16",151901.75
"17",147724.97
"18",152396.97
"19",152401.2
"20",141409.17
"21",147753.88
"22",148042.94
"23",139783.31
